"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union","rec_ID"
"15-49",1878,NA,NA,NA,"Data pertain to non-pregnant women.",73.3396765,59.02949572,14.31018078,NA,NA,"+",NA,"MW","0",NA,NA,0,364,"Iran (Islamic Republic of)",2002,2002,2002.49589,2002.99726,"2002 SCIH","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1878_2002_NA"
"15-49",5558,NA,NA,NA,NA,77.4,57,21.7,5.7,NA,NA,NA,"MW","0",NA,NA,1,364,"Iran (Islamic Republic of)",2010,2011,2010.49589,2011.158904,"2010 MIDHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5558_2010_NA"
"15-49",15,NA,NA,NA,NA,14.5,12.9,1.7,NA,NA,NA,NA,"MW","0",NA,NA,0,368,"Iraq",1974,1974,1974,1974,"1974 FS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_15_1974_NA"
"15-49",833,NA,NA,NA,NA,13.7,10.4,3.4,NA,NA,NA,NA,"MW","0",NA,NA,0,368,"Iraq",1989,1989,1989.161644,1989.410959,"1989 CHS","PAPFAM",0,NA,NA,NA,NA,NA,NA,NA,1,"1_833_1989_NA"
"15-49",4439,NA,NA,NA,NA,43.52311187,25.40303211,18.12007977,NA,NA,NA,NA,"MW","0",NA,NA,1,368,"Iraq",2000,2000,2000.666667,2000.734973,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4439_2000_NA"
"15-49",151,NA,NA,NA,NA,49.84756674,32.84561211,17.00195463,NA,NA,NA,NA,"MW","0",NA,NA,1,368,"Iraq",2006,2006,2006.084932,2006.493151,"2006 MICS","MICS",0,"irwm3",0.02406749,0.031981477,NA,0.004884931,0.004150963,NA,1,"1_151_2006_NA"
"15-49",5334,NA,NA,NA,NA,52.45781096,33.59872871,18.85908225,8,NA,NA,NA,"MW","0",NA,NA,1,368,"Iraq",2011,2011,2011.117808,2011.208219,"2011 MICS","MICS",0,"irwm4",0.019687002,0.027012596,0.029063714,0.004047028,0.003804093,0.002723471,1,"1_5334_2011_NA"
"15-49",5586,NA,NA,NA,NA,52.78881501,36.07492047,16.71389453,14.33667786,NA,NA,NA,"MW","0",NA,NA,0,368,"Iraq",2018,2018,2018.161644,2018.410959,"2018 MICS","MICS",0,"irwm6",0.025978278,0.061492835,0.04627462,0.006696346,0.008534305,0.00563593,1,"1_5586_2018_NA"
"18-49",5110,NA,NA,NA,NA,73.69047619,67.38095238,6.30952381,NA,NA,NA,NA,"MW","+",NA,NA,1,372,"Ireland",2003,2004,2003.49589,2004.327869,"2004 ICCP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5110_2003_NA"
"18-49",3143,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,64.8,NA,NA,NA,NA,NA,NA,"MW","+",NA,NA,1,372,"Ireland",2004,2005,2004,2005,"2004-2005 SSHR","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3143_2004_NA"
"18-45",7672,"Contraceptive use question refers to contraceptive use in the 12 months prior to the survey.",NA,NA,NA,73.26266196,70.90694935,2.355712603,NA,NA,"+",NA,"MW","+",NA,NA,0,372,"Ireland",2010,2010,2010,2010,"2010 ICCP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7672_2010_NA"
"18-39",2770,NA,NA,NA,"Data pertain to the Jewish population.",68,51.9,16,NA,NA,NA,NA,"MW","+",NA,NA,0,376,"Israel",1987,1988,1987,1988,"1987-1988 SFFFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2770_1987_NA"
"20-49",2855,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,NA,62.65562707,40.48145075,22.17417632,11.8,NA,NA,NA,"MW","+","+",NA,1,380,"Italy",1995,1996,1995.832877,1996.081967,"1995-1996 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2855_1995_NA"
"18-49",7508,"Contraceptive use question refers to contraceptive use in the 12 months prior to the survey.",NA,NA,NA,65.1,51.8,13.3,NA,NA,"+",NA,"MW","+",NA,NA,1,380,"Italy",2013,2013,2013,2013,"2013 CSRS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7508_2013_NA"
"15-49",654,NA,NA,NA,NA,38.3,36.2,2.1,NA,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",1975,1976,1975,1976,"1975-1976 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_654_1975_NA"
"15-44",5112,NA,NA,NA,NA,54.9,54.2,0.7,NA,NA,NA,NA,"MW","?",NA,NA,0,388,"Jamaica",1979,1979,1979,1979,"1979 Survey of Contraceptive Use","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5112_1979_NA"
"15-49",2735,NA,NA,NA,NA,51.4,48.4,3,NA,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",1983,1983,1983,1983,"1983 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2735_1983_NA"
"15-49",809,NA,NA,NA,NA,54.6,51.20797014,3.3919817,20.6,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",1989,1989,1989,1989,"1989 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_809_1989_NA"
"15-44",2830,NA,NA,NA,NA,61.99272887,58.29794131,3.69478756,13,NA,NA,NA,"MW","?",NA,NA,0,388,"Jamaica",1993,1993,1993,1993,"1993 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2830_1993_NA"
"15-49",2876,NA,NA,NA,NA,65.72807659,62.66923408,3.058842513,14.2,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",1997,1997,1997.580822,1997.99726,"1997 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2876_1997_NA"
"15-49",2922,NA,NA,NA,NA,69.1,66.1,3,11.7,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",2002,2003,2002,2003,"2002-2003 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2922_2002_NA"
"15-49",3168,NA,NA,NA,NA,72.5,68.4,4.1,10,NA,NA,NA,"MW","0",NA,NA,0,388,"Jamaica",2008,2009,2008.415301,2009.326027,"2008 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3168_2008_NA"
"15-49",5113,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,19.5,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1950,1950,1950,1950,"1950 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5113_1950_NA"
"15-49",5114,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,26.6,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1952,1952,1952,1952,"1952 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5114_1952_NA"
"20-49",7421,NA,NA,NA,"Pertain to married women only.",21.7,NA,NA,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",1952,1952,1952,1952,"1952 Sample Study of Fertility","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7421_1952_NA"
"20-49",7420,NA,NA,NA,"Pertain to married women only.",33.2,NA,NA,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",1954,1954,1954.246575,1954.246575,"1954 Survey of Contraceptive Practice","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7420_1954_NA"
"15-49",5115,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,34.1,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1955,1955,1955,1955,"1955 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5115_1955_NA"
"15-49",5116,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,39,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1957,1957,1957,1957,"1957 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5116_1957_NA"
"15-49",5117,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,42.7,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1959,1959,1959,1959,"1959 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5117_1959_NA"
"15-49",5118,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,42,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1961,1961,1961,1961,"1961 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5118_1961_NA"
"15-49",5119,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,44.6,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1963,1963,1963,1963,"1963 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5119_1963_NA"
"15-49",5120,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,55.5,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1965,1965,1965,1965,"1965 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5120_1965_NA"
"15-49",5121,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,53,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1967,1967,1967,1967,"1967 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5121_1967_NA"
"15-49",5122,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,52.1,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1969,1969,1969,1969,"1969 Survey Birth Control ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5122_1969_NA"
"15-49",5123,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,52.6,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1971,1971,1971,1971,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5123_1971_NA"
"15-49",5130,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,59.3,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1973,1973,1973,1973,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5130_1973_NA"
"15-49",5131,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,60.5,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1975,1975,1975,1975,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5131_1975_NA"
"15-49",5132,NA,NA,NA,"Pertain to married women only.",60.4,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1977,1977,1977,1977,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5132_1977_NA"
"15-49",5133,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,62.2,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1979,1979,1979,1979,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5133_1979_NA"
"15-49",2742,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,57.3,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1984,1984,1984,1984,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2742_1984_NA"
"15-49",2761,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,62.8,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1986,1986,1986,1986,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2761_1986_NA"
"20-49",2771,NA,NA,NA,"Pertain to married women only.",64.5,NA,NA,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",1987,1987,1987,1987,"1987 NFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2771_1987_NA"
"15-49",2783,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,56.3,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1988,1988,1988,1988,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2783_1988_NA"
"15-49",2799,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,57.9,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1990,1990,1990,1990,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2799_1990_NA"
"15-49",2824,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,64,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1992,1992,1992,1992,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2824_1992_NA"
"15-49",2839,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,58.6,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1994,1994,1994,1994,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2839_1994_NA"
"15-49",2866,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,56.6,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1996,1996,1996,1996,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2866_1996_NA"
"20-49",2877,NA,NA,NA,"Pertain to married women only.",60.4,NA,NA,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",1997,1997,1997,1997,"1997 NFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2877_1997_NA"
"15-49",2881,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,54.1,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",1998,1998,1998,1998,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2881_1998_NA"
"15-49",2899,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,55.9,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",2000,2000,2000,2000,"Annual NSFP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2899_2000_NA"
"15-49",2935,NA,"Figures by method do not add up to the total because some methods are used in combination.",NA,NA,52,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,392,"Japan",2004,2004,2004,2004,"2004 PFG","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2935_2004_NA"
"20-49",3170,NA,NA,NA,"Pertain to married women only.",54.3,44.4,16.8,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",2005,2005,2005,2005,"2005 NFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3170_2005_NA"
"20-44",7438,"Adjusted.","Modern methods exclude female and male sterilisation.",NA,NA,54.73029812,39.0344488,15.69584932,NA,NA,NA,NA,"MW","+","-",NA,0,392,"Japan",2014,2014,2014.161644,2014.243836,"2014 BPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7438_2014_NA"
"20-49",5786,NA,NA,NA,"Pertain to married women only.",39.8,33.1,6.7,NA,NA,NA,NA,"MW","+",NA,NA,0,392,"Japan",2015,2015,2015,2015,"2015 NFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5786_2015_NA"
"15-49",701,NA,NA,"Excluding the West Bank.",NA,26.1,17.6,8.5,NA,"Excluding the West Bank.",NA,NA,"MW","0",NA,NA,0,400,"Jordan",1972,1972,1972,1972,"1972 NFS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_701_1972_Excluding the West Bank."
"15-49",29,NA,NA,"Excluding the West Bank.",NA,25.2,17.4,7.8,NA,"Excluding the West Bank.",NA,NA,"MW","0",NA,NA,0,400,"Jordan",1976,1976,1976,1976,"1976 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_29_1976_Excluding the West Bank."
"15-49",1728,NA,NA,"Excluding the West Bank.",NA,26,20.8,5.3,NA,"Excluding the West Bank.",NA,NA,"MW","0",NA,NA,0,400,"Jordan",1983,1983,1983.49589,1983.764384,"1983 FFHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1728_1983_Excluding the West Bank."
"15-49",1727,NA,NA,NA,NA,39.95089806,26.86216601,13.08873205,26.46673992,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",1990,1990,1990.747945,1990.99726,"1990 DHS","DHS",0,"jo22",0.041502026,0.046082611,0.036198433,0.007708559,0.004899134,0.006237835,1,"1_1727_1990_NA"
"15-49",1724,NA,NA,NA,NA,52.58449582,37.6814804,14.90301542,20.06835772,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",1997,1997,1997.413699,1997.830137,"1997 DHS","DHS",0,"jo31",0.035649305,0.047048707,0.038004734,0.007618209,0.005416258,0.005972963,1,"1_1724_1997_NA"
"15-49",1725,NA,NA,NA,NA,55.7780404,41.21823829,14.55980211,14.94122827,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",2002,2002,2002.49589,2002.745205,"2002 DHS","DHS",0,"jo42",0.040687372,0.050150563,0.045889518,0.009060756,0.005699823,0.005675067,1,"1_1725_2002_NA"
"15-49",2407,NA,NA,NA,NA,57.09710034,42.20032315,14.89677719,13.82868532,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",2007,2007,2007.413699,2007.912329,"2007 DHS","DHS",0,"jo51",0.035543799,0.044039942,0.055003691,0.007987023,0.005125518,0.005696714,1,"1_2407_2007_NA"
"15-49",4698,NA,NA,NA,NA,59.26466753,42.03113143,17.2335361,13.37767644,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",2009,2009,2009.747945,2009.99726,"2009 DHS Interim","National survey",0,"jo61",0.034706357,0.04877,0.051679644,0.008377647,0.006828689,0.005603065,1,"1_4698_2009_NA"
"15-49",5339,NA,NA,NA,NA,61.17410827,42.31194459,18.86216368,11.73176713,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",2012,2012,2012.666667,2012.997268,"2012 DHS","DHS",0,"jo6c",0.033759357,0.039412314,0.060849842,0.007333166,0.00534609,0.005719009,1,"1_5339_2012_NA"
"15-49",7364,NA,NA,NA,NA,51.82706474,37.44688129,14.38018345,14.24197004,NA,NA,NA,"MW","0",NA,NA,0,400,"Jordan",2017,2018,2017.49589,2018.082192,"2017-2018 DHS","DHS",0,"jo73",0.033871507,0.045014153,0.045591649,0.007177059,0.004994194,0.00532243,1,"1_7364_2017_NA"
"15-49",1826,NA,NA,NA,NA,59.10288626,46.06082622,13.04206005,16.31061892,NA,NA,NA,"MW","0",NA,NA,0,398,"Kazakhstan",1995,1995,1995.328767,1995.745205,"1995 DHS","DHS",0,"kk31",0.054622792,0.113289889,0.082909823,0.011741262,0.011556957,0.009427126,1,"1_1826_1995_NA"
"15-49",1669,NA,NA,NA,NA,66.08012096,54.42922636,11.65089459,11.85641329,NA,NA,NA,"MW","0",NA,NA,0,398,"Kazakhstan",1999,1999,1999.49589,1999.745205,"1999 DHS","DHS",0,"kk42",0.062764672,0.092539564,0.070663622,0.014115954,0.008625449,0.007090337,1,"1_1669_1999_NA"
"15-49",1882,NA,NA,NA,NA,50.70393556,49.40031588,1.303619682,NA,NA,NA,NA,"MW","0",NA,NA,1,398,"Kazakhstan",2006,2006,2006,2006.243836,"2006 MICS","MICS",0,"kkwm3",0.028057347,0.110541991,NA,0.006889822,0.0013932,NA,1,"1_1882_2006_NA"
"15-49",5006,NA,NA,NA,NA,50.9960363,49.7401943,1.255842003,11.6,NA,NA,NA,"MW","0",NA,NA,1,398,"Kazakhstan",2010,2011,2010.832877,2011.082192,"2010-2011 MICS","MICS",0,"kkwm4",0.025401803,0.112924468,0.037476097,0.006264119,0.001381139,0.004947878,1,"1_5006_2010_NA"
"15-49",5666,NA,NA,NA,NA,55.69399923,53.59843033,2.095568904,9.804698364,NA,NA,NA,"MW","0",NA,NA,0,398,"Kazakhstan",2015,2015,2015.70411,2015.871233,"2015 MICS","MICS",0,"kkwm5",0.03232316,0.101118283,0.050321704,0.008047822,0.002072943,0.004552206,1,"1_5666_2015_NA"
"18-49",7680,NA,NA,NA,NA,52.98,50.09,2.89,15.47,NA,NA,NA,"MW","+",NA,NA,0,398,"Kazakhstan",2018,2018,2018,2018,"2018 GGS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7680_2018_NA"
"15-49",753,NA,NA,NA,NA,7,4.4,2.5,NA,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",1977,1978,1977,1978,"1977-1978 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_753_1977_NA"
"15-49",2743,NA,NA,NA,NA,17,9.7,7.3,NA,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",1984,1984,1984,1984,"1984 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2743_1984_NA"
"15-49",1822,NA,NA,NA,NA,26.90688395,17.8710205,9.035863453,38,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",1988,1989,1988.915301,1989.410959,"1989 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1822_1988_NA"
"15-49",1823,NA,NA,NA,NA,32.74728081,27.29654491,5.450735897,35.30439365,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",1993,1993,1993.084932,1993.663014,"1993 DHS","DHS",0,"ke33",0.061320938,0.086869799,0.047361477,0.011479359,0.004266835,0.009816168,1,"1_1823_1993_NA"
"15-49",1824,NA,NA,NA,NA,38.97230022,31.46706905,7.505231166,27.99136026,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",1998,1998,1998.084932,1998.578082,"1998 DHS","DHS",0,"ke3a",0.050392379,0.073940021,0.044927051,0.010743375,0.005091101,0.008931445,1,"1_1824_1998_NA"
"15-49",1692,NA,NA,NA,NA,39.31630777,31.53541257,7.780895205,27.4079014,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2003,2003,2003.246575,2003.745205,"2003 DHS","DHS",0,"ke42",0.057309448,0.075214991,0.050902128,0.009143841,0.004007131,0.006740311,1,"1_1692_2003_NA"
"15-49",4689,NA,NA,NA,NA,45.47217596,39.44455538,6.027620585,25.63424992,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2008,2009,2008.833333,2009.158904,"2008-2009 DHS","DHS",0,"ke52",0.053818742,0.107454909,0.05266999,0.01222617,0.00577887,0.008588812,1,"1_4689_2008_NA"
"15-49",5721,NA,NA,NA,NA,52.84896654,52.37790478,0.259427328,23.06607306,NA,NA,NA,"MW","0",NA,NA,1,404,"Kenya",2014,2014,2014.49589,2014.556164,"2014 PMA-R1","PMA",0,"PMA2014_KER1_HHQFQ_v2_19Nov2017",0.072718978,0.37565445,0.078275947,0.018098005,0.000946442,0.010529494,1,"1_5721_2014_NA"
"15-49",5780,NA,NA,NA,NA,57.97149058,53.22078859,4.750701992,17.47809836,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2014,2014,2014.328767,2014.830137,"2014 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5780_2014_NA"
"15-49",5996,NA,NA,NA,NA,56.1674311,55.23793366,0.804843464,21.21775579,NA,NA,NA,"MW","0",NA,NA,1,404,"Kenya",2014,2014,2014.832877,2014.99726,"2014 PMA-R2","PMA",0,"PMA2014_KER2_HHQFQ_v1_24Jan2017",0.067486308,0.310471148,0.068375574,0.016274276,0.002460384,0.012385628,1,"1_5996_2014_NA"
"15-49",5768,NA,NA,NA,NA,61.51355016,59.30364117,2.138814223,16.47709217,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2015,2015,2015.413699,2015.578082,"2015 PMA-R3","PMA",0,"PMA2015_KER3_HHQFQ_v1_24Jan2017",0.070734271,0.202684657,0.07334298,0.016911854,0.004201663,0.010711559,1,"1_5768_2015_NA"
"15-49",6037,NA,NA,NA,NA,64.07890737,61.82107925,2.202020497,17.30416157,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2015,2015,2015.832877,2015.99726,"2015 PMA-R4","PMA",0,"PMA2015_KER4_HHQFQ_v1_24Jan2017",0.063213087,0.294458082,0.077835337,0.014450869,0.006109029,0.010379752,1,"1_6037_2015_NA"
"15-49",7484,NA,NA,NA,NA,61.17414876,59.30103571,1.715652463,15.83497357,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2016,2016,2016.833333,2016.997268,"2016 PMA-R5","PMA",0,"PMA2016_KER5_HHQFQ_v1_27Jul2017",0.061776606,0.173620298,0.093264763,0.014579981,0.00270171,0.011078696,1,"1_7484_2016_NA"
"15-49",7657,NA,NA,NA,NA,59.96823824,58.51627675,1.239437677,15.16441453,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2017,2017,2017.832877,2017.99726,"2017 PMA-R6","PMA",0,"PMA2017_KER6_HHQFQ_v1_28Aug2018",0.055411827,0.198529649,0.081545602,0.012944539,0.002417087,0.008324523,1,"1_7657_2017_NA"
"15-49",7720,NA,NA,NA,NA,61.92098938,59.93494544,1.785693708,14.29665898,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2018,2018,2018.832877,2018.99726,"2018 PMA-R7","PMA",0,"PMA2018_KER7_HHQFQ_2Dec2019",0.055591998,0.150948151,0.080605053,0.012457061,0.002747216,0.008614291,1,"1_7720_2018_NA"
"15-49",9019,NA,NA,NA,NA,59.7,56.4,3.3,15,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2019,2019,2019.832877,2019.915068,"2019 PMA-Phase 1","PMA",0,NA,NA,NA,NA,NA,NA,NA,1,"1_9019_2019_NA"
"15-49",9095,NA,NA,NA,NA,65.11621062,61.15644396,3.839334739,12.70720956,NA,NA,NA,"MW","0",NA,NA,0,404,"Kenya",2020,2020,2020.833333,2020.997268,"2020 PMA-Phase 2","PMA",0,"PMA2020_KEP2_HQFQ_v2.0_25Jan2022",0.041866454,0.103475475,0.056736756,0.009285331,0.003577425,0.005622718,1,"1_9095_2020_NA"
"15-49",3112,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,296,"Kiribati",2000,2000,2000,2000,"2000 RHKS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3112_2000_NA"
"15-49",6017,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,1,296,"Kiribati",2008,2008,2008.330601,2008.527322,"2008 FHSS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_6017_2008_NA"
"15-49",5444,NA,NA,NA,NA,22.3,18,4.3,28,NA,NA,NA,"MW","0",NA,NA,0,296,"Kiribati",2009,2009,2009.712329,2009.961644,"2009 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5444_2009_NA"
